Map name,Tier,Type,Stages/Cps,Bonuses
surf_crush,5,Linear,4,1
surf_damn,5,Linear,5,2
surf_damnation,5,Linear,4,3
surf_diamond_beta1,5,Staged,4,1
surf_dionysus,5,Linear,3,0
surf_disneyland,5,Staged,7,0
surf_dova,5,Linear,3,2
surf_drift,5,Staged-Linear,3,0
surf_edge,5,Linear,7,3
surf_elysium,5,Staged,4,1
surf_elysium2,5,Staged,4,1
surf_elysium3,5,Staged,4,2
surf_elysium4,5,Staged,4,3
surf_entropy_hardmode,5,Staged,5,0
surf_eon_fix,5,Linear,3,3
surf_eryr2_fix,5,Staged,4,3
surf_exocube_h,5,Staged,5,0
surf_extremex2_5,5,Staged,6,2
surf_forsaken,5,Linear,4,2
surf_freaky,5,Staged,6,0
surf_froots2,5,Staged,20,4
surf_gary_barlow,5,Staged,2,2
surf_germania,5,Staged,6,2
surf_grid_ksf,5,Staged,9,4
surf_gurus_fix,5,Staged,7,0
surf_helloworld,5,Staged,5,3
surf_hero,5,Staged,4,5
surf_highlands,5,Staged,5,4
surf_hollow,5,Linear,3,2
surf_infamous_ksf,5,Staged,5,1
surf_infected_h,5,Linear,4,0
surf_intra,5,Linear,7,0
surf_izded,5,Staged,4,3
surf_kairo,5,Linear,7,6
surf_kalium2,5,Linear,7,0
surf_legendary,5,Staged,7,0
surf_loentra,5,Linear,4,2
surf_lolrevlis,5,Staged,9,1
surf_lowestbidder,5,Linear,4,1
surf_map_njv,5,Linear,5,1
surf_mdrn,5,Linear,3,4
surf_metallic,5,Staged,5,0
surf_minecraft_fix,5,Linear,5,2
surf_misc,5,Staged,7,0
surf_nesquik,5,Staged,6,6
surf_nightmare,5,Staged,6,1
surf_nostromo,5,Linear,5,2
surf_nyze,5,Staged,5,2
surf_our,5,Linear,4,4
surf_polonia,5,Staged,5,2
surf_polytron,5,Linear,4,1
surf_primero_fix,5,Linear,5,1
surf_remeanian,5,Staged,2,10
surf_revolution_fix,5,Staged,5,3
surf_rewind,5,Staged,6,4
surf_salient,5,Staged,4,2
surf_salient2,5,Staged,4,2
surf_salvation,5,Linear,4,2
surf_selenka,5,Staged,4,2
surf_seraph,5,Linear,4,1
surf_shoria,5,Staged,5,1
